rank,club,performance_score,category,weak_factor,feature_importance
1.0,Sporting CP,14.853549382716048,Weak Team,pass_accuracy,0.21392561873817784
2.0,Man. United,15.008198924731184,Weak Team,pass_accuracy,0.21392561873817784
3.0,Club Brugge,15.108333333333333,Weak Team,pass_accuracy,0.21392561873817784
4.0,Dynamo Kyiv,15.20289855072464,Weak Team,balls_recoverd,0.24234050180003688
5.0,Malmö,15.560912698412698,Weak Team,balls_recoverd,0.24234050180003688
6.0,LOSC,15.598958333333334,Weak Team,pass_accuracy,0.21392561873817784
7.0,Young Boys,15.620486111111111,Weak Team,pass_accuracy,0.21392561873817784
8.0,Porto,15.799431818181818,Weak Team,pass_accuracy,0.21392561873817784
9.0,Leipzig,15.803804347826087,Weak Team,pass_accuracy,0.21392561873817784
10.0,Sheriff,15.818421052631578,Weak Team,pass_accuracy,0.21392561873817784
11.0,Shakhtar Donetsk,15.8555,Weak Team,balls_recoverd,0.24234050180003688
12.0,Beşiktaş,15.87419871794872,Weak Team,balls_recoverd,0.24234050180003688
13.0,Juventus,15.941071428571428,Weak Team,pass_accuracy,0.21392561873817784
14.0,Wolfsburg,16.04642857142857,Weak Team,pass_accuracy,0.21392561873817784
15.0,Dortmund,16.081884057971013,Weak Team,clearance_attempted,0.07324368559648527
16.0,Sevilla,16.12159090909091,Weak Team,clearance_attempted,0.07324368559648527
17.0,Salzburg,16.277380952380952,Strong Team,pass_accuracy,0.21392561873817784
18.0,Milan,16.533152173913045,Strong Team,balls_recoverd,0.24234050180003688
19.0,Atalanta,16.660912698412698,Strong Team,tackles,0.10366776772290053
20.0,Zenit,16.78571428571429,Strong Team,balls_recoverd,0.24234050180003688
21.0,Barcelona,16.967934782608697,Strong Team,balls_recoverd,0.24234050180003688
22.0,Benfica,17.372222222222224,Strong Team,pass_accuracy,0.21392561873817784
23.0,Villarreal,17.581500000000002,Strong Team,pass_accuracy,0.21392561873817784
24.0,Ajax,17.834722222222222,Strong Team,clearance_attempted,0.07324368559648527
25.0,Paris,17.93392857142857,Strong Team,total_attempts,0.21802983935811554
26.0,Inter,18.100568181818183,Strong Team,fouls_committed,0.14879258678428398
27.0,Real Madrid,18.385166666666667,Strong Team,pass_accuracy,0.21392561873817784
28.0,Man. City,18.557692307692307,Strong Team,clearance_attempted,0.07324368559648527
29.0,Bayern,18.669965277777777,Strong Team,clearance_attempted,0.07324368559648527
30.0,Liverpool,19.288541666666667,Strong Team,tackles,0.10366776772290053
31.0,Atlético,19.437121212121212,Strong Team,total_attempts,0.21802983935811554
32.0,Chelsea,20.351041666666667,Strong Team,clearance_attempted,0.07324368559648527
